object,estimate,std_err
ATETattendedSomeCollege,5.4,2.8043786
ATETcompletedCollege,12.0,3.14397184
ATETcompletedHighSchool,2.4,1.25036987
ATETeconomicSelfSufficiency,9.2,2.81057022
ATEThumanCapital,18.0,4.52596217
ATETyearsOfSchooling,0.65,0.16472928
